ZCTA,Borough,Neighborhood
10001,Manhattan,Chelsea/Midtown
10002,Manhattan,Lower East Side
10003,Manhattan,East Village/Gramercy
10004,Manhattan,Financial District
10005,Manhattan,Financial District
10006,Manhattan,Financial District
10007,Manhattan,TriBeCa
10009,Manhattan,East Village
10010,Manhattan,Gramercy
10011,Manhattan,Chelsea
10012,Manhattan,SoHo/NoHo
10013,Manhattan,TriBeCa/Chinatown
10014,Manhattan,West Village
10016,Manhattan,Murray Hill
10017,Manhattan,Midtown East
10018,Manhattan,Midtown West
10019,Manhattan,Midtown West
10021,Manhattan,Upper East Side
10022,Manhattan,Midtown East
10023,Manhattan,Upper West Side
10024,Manhattan,Upper West Side
10025,Manhattan,Upper West Side
10026,Manhattan,Central Harlem
10027,Manhattan,Central Harlem
10028,Manhattan,Upper East Side
10029,Manhattan,East Harlem
10030,Manhattan,Central Harlem
10031,Manhattan,Hamilton Heights
10032,Manhattan,Washington Heights
10033,Manhattan,Washington Heights
10034,Manhattan,Inwood
10035,Manhattan,East Harlem
10036,Manhattan,Midtown West
10037,Manhattan,East Harlem
10038,Manhattan,Financial District
10039,Manhattan,Central Harlem
10040,Manhattan,Washington Heights
10044,Manhattan,Roosevelt Island
10065,Manhattan,Upper East Side
10069,Manhattan,Lincoln Square
10075,Manhattan,Upper East Side
10128,Manhattan,Upper East Side
10280,Manhattan,Battery Park City
10282,Manhattan,Battery Park City
10301,Staten Island,St. George
10302,Staten Island,Port Richmond
10303,Staten Island,Mariner's Harbor
10304,Staten Island,Stapleton
10305,Staten Island,Rosebank
10306,Staten Island,New Dorp
10307,Staten Island,Tottenville
10308,Staten Island,Great Kills
10309,Staten Island,Charleston
10310,Staten Island,West Brighton
10312,Staten Island,Eltingville
10314,Staten Island,Bulls Head
10451,Bronx,High Bridge
10452,Bronx,Concourse
10453,Bronx,Morris Heights
10454,Bronx,Mott Haven
10455,Bronx,Mott Haven
10456,Bronx,Morrisania
10457,Bronx,Tremont
10458,Bronx,Belmont
10459,Bronx,Longwood
10460,Bronx,West Farms
10461,Bronx,Morris Park
10462,Bronx,Parkchester
10463,Bronx,Kingsbridge
10464,Bronx,City Island
10465,Bronx,Throgs Neck
10466,Bronx,Wakefield
10467,Bronx,Norwood
10468,Bronx,Fordham
10469,Bronx,Pelham Gardens
10470,Bronx,Woodlawn
10471,Bronx,Riverdale
10472,Bronx,Soundview
10473,Bronx,Castle Hill
10474,Bronx,Hunts Point
10475,Bronx,Co-op City
11004,Queens,Glen Oaks
11101,Queens,Long Island City
11102,Queens,Astoria
11103,Queens,Astoria
11104,Queens,Sunnyside
11105,Queens,Astoria
11106,Queens,Astoria
11109,Queens,Long Island City
11201,Brooklyn,Brooklyn Heights
11203,Brooklyn,East Flatbush
11204,Brooklyn,Bensonhurst
11205,Brooklyn,Clinton Hill
11206,Brooklyn,Williamsburg
11207,Brooklyn,East New York
11208,Brooklyn,East New York
11209,Brooklyn,Bay Ridge
11210,Brooklyn,Midwood
11211,Brooklyn,Williamsburg
11212,Brooklyn,Brownsville
11213,Brooklyn,Crown Heights
11214,Brooklyn,Bath Beach
11215,Brooklyn,Park Slope
11216,Brooklyn,Bedford-Stuyvesant
11217,Brooklyn,Boerum Hill
11218,Brooklyn,Kensington
11219,Brooklyn,Borough Park
11220,Brooklyn,Sunset Park
11221,Brooklyn,Bushwick
11222,Brooklyn,Greenpoint
11223,Brooklyn,Gravesend
11224,Brooklyn,Coney Island
11225,Brooklyn,Crown Heights
11226,Brooklyn,Flatbush
11228,Brooklyn,Dyker Heights
11229,Brooklyn,Sheepshead Bay
11230,Brooklyn,Midwood
11231,Brooklyn,Carroll Gardens
11232,Brooklyn,Sunset Park
11233,Brooklyn,Ocean Hill
11234,Brooklyn,Marine Park
11235,Brooklyn,Brighton Beach
11236,Brooklyn,Canarsie
11237,Brooklyn,Bushwick
11238,Brooklyn,Prospect Heights
11239,Brooklyn,East New York
11354,Queens,Flushing
11355,Queens,Flushing
11356,Queens,College Point
11357,Queens,Whitestone
11358,Queens,Auburndale
11360,Queens,Bayside
11361,Queens,Bayside
11362,Queens,Little Neck
11363,Queens,Little Neck
11364,Queens,Oakland Gardens
11365,Queens,Fresh Meadows
11366,Queens,Fresh Meadows
11367,Queens,Kew Gardens Hills
11368,Queens,Corona
11369,Queens,East Elmhurst
11370,Queens,East Elmhurst
11372,Queens,Jackson Heights
11373,Queens,Elmhurst
11374,Queens,Rego Park
11375,Queens,Forest Hills
11377,Queens,Woodside
11378,Queens,Maspeth
11379,Queens,Middle Village
11385,Queens,Ridgewood/Glendale
11411,Queens,Cambria Heights
11412,Queens,St. Albans
11413,Queens,Springfield Gardens
11414,Queens,Howard Beach
11415,Queens,Kew Gardens
11416,Queens,Ozone Park
11417,Queens,Ozone Park
11418,Queens,Richmond Hill
11419,Queens,Richmond Hill
11420,Queens,South Ozone Park
11421,Queens,Woodhaven
11422,Queens,Rosedale
11423,Queens,Hollis
11426,Queens,Bellerose
11427,Queens,Queens Village
11428,Queens,Queens Village
11429,Queens,Queens Village
11432,Queens,Jamaica
11433,Queens,Jamaica
11434,Queens,Jamaica
11435,Queens,Jamaica
11436,Queens,Jamaica
11691,Queens,Far Rockaway
11692,Queens,Arverne
11693,Queens,Far Rockaway
11694,Queens,Rockaway Park
11697,Queens,Breezy Point
